Peak_ID	Cons_Repeat_Groups	Max_Cons_Repeats
SRR2075686_rloop_peak_8073	0	1
SRR2075686_rloop_peak_8049	0	1
SRR2075686_rloop_peak_8041	0	1
SRR2075686_rloop_peak_8033	0	1
SRR2075686_rloop_peak_8024	0	1
SRR2075686_rloop_peak_8016	0	1
SRR2075686_rloop_peak_8006	0	1
SRR2075686_rloop_peak_800	0	1
SRR2075686_rloop_peak_7989	0	1
SRR2075686_rloop_peak_798	0	1
SRR2075686_rloop_peak_7973	0	1
SRR2075686_rloop_peak_7967	0	1
SRR2075686_rloop_peak_7952	0	1
SRR2075686_rloop_peak_7944	0	1
SRR2075686_rloop_peak_7941	0	1
SRR2075686_rloop_peak_7940	0	1
SRR2075686_rloop_peak_7937	0	1
SRR2075686_rloop_peak_7935	0	1
SRR2075686_rloop_peak_7916	0	1
SRR2075686_rloop_peak_7913	0	1
SRR2075686_rloop_peak_7909	0	1
SRR2075686_rloop_peak_7901	0	1
SRR2075686_rloop_peak_7896	0	1
SRR2075686_rloop_peak_7895	0	1
SRR2075686_rloop_peak_7865	0	1
SRR2075686_rloop_peak_7840	0	1
SRR2075686_rloop_peak_7838	0	1
SRR2075686_rloop_peak_7836	0	1
SRR2075686_rloop_peak_7834	0	1
SRR2075686_rloop_peak_7826	0	1
SRR2075686_rloop_peak_7817	0	1
SRR2075686_rloop_peak_7803	0	1
SRR2075686_rloop_peak_7799	0	1
SRR2075686_rloop_peak_7788	0	1
SRR2075686_rloop_peak_7787	0	1
SRR2075686_rloop_peak_777	0	1
SRR2075686_rloop_peak_7720	0	1
